org_id,org_name,org_type,website,phone,email,street_address,city,county,state,zip,financial_aid_available,financial_aid_notes,registration_policy,registration_opens,confidence,verified_date,notes
ac-equestrians,AC Equestrians,private,https://www.facebook.com/ACEquestrians/,,,,Hinesburg,Chittenden,VT,,,,,,likely,,
ace-colchester,ACE Before & After School Program (Colchester),private,,,,,Colchester,Chittenden,VT,,,,,,confirmed,,
aikido-of-champlain-valley,Aikido of Champlain Valley,private,,,,,,,VT,,,,,,likely,,
alisa-kresge-basketball-camp-uvm,Alisa Kresge Basketball Camp @ UVM,university,https://alisakresgebasketballcamp.com/camps/,,,,,,VT,,,,,,confirmed,,
alltogethernow,AllTogetherNow,private,https://www.alltogethernowvt.org/summer_camps.html,,,,,,VT,,,,,,confirmed,,
arbaseque-etc,Arbaseque Etc.,private,,,,,Richmond,Chittenden,VT,,,,,,likely,,
arrowhead-forest-farm,Arrowhead Forest Farm,private,https://www.arrowheadforestfarm.com/summercamp,,,,Milton,Chittenden,VT,,,,,,confirmed,,
aspen-east-stables,Aspen East Stables,private,https://www.aspeneaststablesvt.com/camps,,,,Jericho,Chittenden,VT,,,,,,likely,,
bolton-valley-resort,Bolton Valley Resort,private,https://www.boltonvalley.com/summer/summer-camps/,,,,Bolton,Chittenden,VT,,,,,,confirmed,,
bgc-rutland,Boys & Girls Club of Rutland County,nonprofit,https://www.rutlandbgclub.org,8027474944,mikaeladr@rutlandbgclub.org,,Rutland,Rutland,VT,05701,,,,,confirmed,,
bgc-burlington,Boys and Girls Club of Burlington,nonprofit,https://www.bandgclub.org,8028645263,bvanparys@bandgclub.org,633 Main St,Burlington,Chittenden,VT,05401,,,,,confirmed,,
bread-butter-farm,Bread and Butter Farm,private,https://breadandbutterfarm.com/summer-camp,,,,Shelburne,Chittenden,VT,,,,,,confirmed,,
burlington-city-arts,Burlington City Arts,private,https://www.burlingtoncityarts.org/event/summer-camps,,,,Burlington,Chittenden,VT,,,,,,likely,,
burlington-city-kids,Burlington City Kids,private,,8023161512,ebyrnes@burlingtonvt.gov,,Burlington,Chittenden,VT,05401,,,,,confirmed,,
burlington-disk-golf-summer-camp,Burlington Disk Golf Summer Camp,private,https://discgolfvermont.com/services/disc-golf-summer-camps/,,,,Burlington,Chittenden,VT,,,,,,confirmed,,
burlington-fc-soccer,Burlington FC Summer Soccer Camp,private,https://www.burlingtonfc.org/#/,,,,Burlington,Chittenden,VT,,,,,,confirmed,,
